取引ID,LINE送信日時,通知先,アクション,操作日時,修正内容,最終ステータス
TXN-001,2026-03-01 10:15,経理担当_佐藤,承認,2026-03-01 10:22,,確定
TXN-002,2026-03-03 09:30,経理担当_佐藤,承認,2026-03-03 09:45,,確定
TXN-003,2026-03-05 11:00,経理担当_佐藤,承認,2026-03-05 11:05,,確定
TXN-004,2026-03-07 14:20,経理担当_佐藤,承認,2026-03-07 14:25,,確定
TXN-005,2026-03-10 09:00,経理担当_佐藤,承認,2026-03-10 09:10,,確定
TXN-006,2026-03-12 16:40,経理担当_佐藤,修正,2026-03-12 16:55,外注費→業務委託費,確定
TXN-007,2026-03-14 10:00,経理担当_佐藤,承認,2026-03-14 10:03,,確定
TXN-008,2026-03-15 13:15,経理担当_佐藤,承認,2026-03-15 13:18,,確定
TXN-009,2026-03-18 17:30,経理担当_佐藤,保留,,,保留中
TXN-010,2026-03-20 11:45,経理担当_佐藤,修正,2026-03-20 12:00,交際費→会議費（1人5000円以下のため）,確定
TXN-011,2026-03-22 09:20,経理担当_佐藤,承認,2026-03-22 09:30,,確定
TXN-012,2026-03-25 15:00,経理担当_佐藤,承認,2026-03-25 15:05,,確定
